condition,source_object,required_status_or_rule,failure_code,blocks_job_release,blocks_wo_release,blocks_start_job
equipment_lifecycle_active,equipment,active_or_qualified_and_not_retired,equipment_not_active,Y,Y,Y
machine_not_locked_out,master_data.equipment,not_lockout_and_not_on_hold,equipment_locked_out,Y,Y,Y
pm_not_overdue,pm_maintenance_plans or equipment pm dates,next_due_not_past_or_critical_override_absent,pm_overdue,Y,Y,Y
critical_maintenance_wo_closed,pm_work_orders,no_open_critical_in_progress_or_released,maintenance_wo_open,Y,Y,Y
calibration_valid,calibration_records,next_due_after_now_and_last_result_passed,calibration_expired,Y,Y,Y
oot_investigation_closed,calibration_records plus oot investigation,no_open_oot_for_effected_period,oot_open_affects_product,Y,Y,Y
capability_match,equipment metadata or capability profile,machine_family_axis_tolerance_process_match,capability_mismatch,Y,Y,Y
connectivity_heartbeat_live,mes_connectivity_adapters plus mes_equipment_extended,heartbeat_age_below_stale_after_if_required,connectivity_stale,N,Y,Y
signal_tag_map_approved,adapter signal trust model,approved_version_required_for_governed_signals,unapproved_signal_map,N,Y,Y
safety_checklist_complete,safety profile or maintenance permit checklist,required_checklist_signed,safety_checklist_missing,N,Y,Y
controller_program_match,mes_nc_release_packages and receipts,controller_family_and_checksum_verified,N,Y,Y
current_wo_exclusive,machine state projection,not_running_other_wo,current_wo_conflict,N,Y,Y
location_consistent,pm_functional_locations and work center assignment,equipment_location_matches_scheduled_scope,location_mismatch,N,Y,Y
downtime_reason_active,reason_code registry,active_reason_required_for_forced_down,downtime_reason_inactive,N,N,Y
production_count_not_excess,machine raw and derived event spine,derived_count_must_not_exceed_wo_qty,production_count_overrun,N,N,Y
manual_override_esign,electronic_signature,required_for_release_override,manual_override_missing_esign,N,Y,Y
